"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.NPV_dredge_check_buff","-322189"," -66917","-3.6e+04"," 1.5e+04","  78353","167792","273759","341169","876918"," 101106","0.1995","0","0.8005"
"y.NPV_dredge_check_nbuff","-102385"," -17195","-1.8e+03"," 2.6e+04","  64398","115464","171480","210369","639527","  76551","0.1071","0","0.8929"
"y.NPV_dredge_ncheck_buff","-299030"," -47689","-2.5e+04"," 1.4e+04","  71476","172802","278939","347369","921120"," 103482","0.1909","0","0.8091"
"y.NPV_dredge_ncheck_nbuff","-225043"," -16167","-6.7e+03"," 1.6e+04","  42295"," 71423","101953","122880","393982","  46205","0.1414","0","0.8586"
"y.NPV_ndredge_check_buff","-319665"," -66209","-4.4e+04"," 1.1e+03","  65332","157268","262485","331763","888267","  90142","0.2458","0","0.7542"
"y.NPV_ndredge_check_nbuff","-108087"," -33155","-2.4e+04","-9.0e+02","  40708"," 82338","126800","156828","424650","  46701","0.2564","0","0.7436"
"y.NPV_ndredge_ncheck_buff","-305002"," -58696","-4.2e+04","-2.0e+04","  47630","163788","268197","333040","886174","  83403","0.3662","0","0.6338"
"y.cashflow_NPV_dredge_check_buff1","-391575","-298833","-2.8e+05","-2.5e+05","-206430","-88775","-62217","-53407"," 11191","-182118","0.9998","0","0.0002"
"y.cashflow_NPV_dredge_check_buff2"," -33262","  -7218","-3.0e+03"," 1.6e+03","   6561"," 12258"," 18131"," 22122"," 57676","   7014","0.1769","0","0.8231"
"y.cashflow_NPV_dredge_check_buff3"," -57835","  -5538","-1.5e+03"," 2.7e+03","   7702"," 13457"," 19668"," 23939"," 59425","   8328","0.1329","0","0.8671"
"y.cashflow_NPV_dredge_check_buff4"," -35346","  -4029","-6.1e+02"," 3.4e+03","   8772"," 14423"," 20943"," 24890"," 57547","   9336","0.1129","0","0.8871"
"y.cashflow_NPV_dredge_check_buff5"," -27130","  -3168"," 2.0e+02"," 4.2e+03","   9619"," 15500"," 21919"," 26449"," 71046","  10302","0.0954","0","0.9046"
"y.cashflow_NPV_dredge_check_buff6"," -35674","  -1778"," 1.0e+03"," 4.7e+03","  10355"," 16500"," 22618"," 26967"," 70216","  11083","0.0772","0","0.9228"
"y.cashflow_NPV_dredge_check_buff7"," -21158","   -673"," 1.6e+03"," 5.4e+03","  11246"," 17486"," 24129"," 28613"," 65636","  12084","0.0615","0","0.9385"
"y.cashflow_NPV_dredge_check_buff8"," -23942","     86"," 2.1e+03"," 6.1e+03","  11847"," 18161"," 24760"," 29259"," 96249","  12736","0.0486","0","0.9514"
"y.cashflow_NPV_dredge_check_buff9"," -20028","    750"," 2.7e+03"," 6.7e+03","  12682"," 19078"," 26059"," 30786"," 71149","  13624","0.0381","0","0.9619"
"y.cashflow_NPV_dredge_check_buff10"," -15768","   1318"," 3.2e+03"," 7.3e+03","  13307"," 19986"," 27103"," 31773"," 71437","  14411","0.0296","0","0.9704"
"y.cashflow_NPV_dredge_check_buff11"," -13749","   1665"," 3.3e+03"," 7.4e+03","  13686"," 20505"," 27718"," 32562"," 84366","  14811","0.0232","0","0.9768"
"y.cashflow_NPV_dredge_check_buff12"," -12883","   1821"," 3.7e+03"," 7.8e+03","  14319"," 21365"," 28675"," 33398"," 80413","  15413","0.0188","0","0.9812"
"y.cashflow_NPV_dredge_check_buff13"," -18659","   2432"," 4.0e+03"," 8.3e+03","  14778"," 21834"," 29044"," 34285"," 99823","  15955","0.0114","0","0.9886"
"y.cashflow_NPV_dredge_check_buff14","  -9903","   2542"," 4.1e+03"," 8.5e+03","  15187"," 22410"," 29931"," 35088"," 69522","  16325","0.0127","0","0.9873"
"y.cashflow_NPV_dredge_check_buff15"," -10603","   2673"," 4.3e+03"," 8.7e+03","  15555"," 22943"," 30543"," 35773"," 94358","  16725","0.0114","0","0.9886"
"y.cashflow_NPV_dredge_check_buff16"," -26135","   2782"," 4.5e+03"," 9.1e+03","  16035"," 23472"," 30965"," 35755"," 79028","  17114","0.0113","0","0.9887"
"y.cashflow_NPV_dredge_check_buff17"," -14412","   2991"," 4.6e+03"," 9.0e+03","  16299"," 23665"," 30901"," 36052"," 78287","  17257","0.0079","0","0.9921"
"y.cashflow_NPV_dredge_check_buff18","  -6434","   2925"," 4.7e+03"," 9.2e+03","  16265"," 23719"," 31062"," 36402"," 74867","  17393","0.0077","0","0.9923"
"y.cashflow_NPV_dredge_check_buff19","  -2623","   3001"," 4.7e+03"," 9.2e+03","  16442"," 23680"," 31681"," 36904"," 77489","  17503","0.0076","0","0.9924"
"y.cashflow_NPV_dredge_check_buff20","  -2723","   2957"," 4.7e+03"," 9.3e+03","  16748"," 24071"," 31289"," 36262"," 87265","  17606","0.0069","0","0.9931"
"y.cashflow_NPV_dredge_check_buff21","  -3425","   2946"," 4.7e+03"," 9.3e+03","  16674"," 24178"," 31597"," 36691","108797","  17654","0.0077","0","0.9923"
"y.cashflow_NPV_dredge_check_buff22","  -2617","   2895"," 4.6e+03"," 9.2e+03","  16733"," 24040"," 31405"," 36637"," 84925","  17616","0.0067","0","0.9933"
"y.cashflow_NPV_dredge_check_buff23","  -1636","   2808"," 4.5e+03"," 9.1e+03","  16810"," 24252"," 31335"," 36644"," 70341","  17554","0.0079","0","0.9921"
"y.cashflow_NPV_dredge_check_buff24","  -1268","   2778"," 4.3e+03"," 8.9e+03","  16739"," 24034"," 31224"," 36088"," 83720","  17477","0.0083","0","0.9917"
"y.cashflow_NPV_dredge_check_buff25","  -2158","   2606"," 4.3e+03"," 8.7e+03","  16758"," 23999"," 30926"," 35874"," 79965","  17369","0.0080","0","0.9920"
"y.cashflow_NPV_dredge_check_buff26","  -1243","   2445"," 4.1e+03"," 8.7e+03","  16665"," 23994"," 30835"," 35916"," 73147","  17282","0.0065","0","0.9935"
"y.cashflow_NPV_dredge_check_buff27","  -2739","   2309"," 4.0e+03"," 8.6e+03","  16712"," 24202"," 30997"," 35945"," 76425","  17268","0.0071","0","0.9929"
"y.cashflow_NPV_dredge_check_buff28","  -1726","   2275"," 3.8e+03"," 8.2e+03","  16381"," 23865"," 30798"," 35578"," 74692","  17010","0.0078","0","0.9922"
"y.cashflow_NPV_dredge_check_buff29","  -1509","   2058"," 3.7e+03"," 7.9e+03","  16531"," 23747"," 30821"," 35353"," 75178","  16877","0.0072","0","0.9928"
"y.cashflow_NPV_dredge_check_buff30","  -1126","   1978"," 3.4e+03"," 7.7e+03","  16564"," 23604"," 30324"," 34749"," 95368","  16771","0.0068","0","0.9932"
"y.cashflow_NPV_dredge_check_nbuff1","-104580"," -70324","-6.6e+04","-6.2e+04"," -56554","-43269","-32448","-25826"," 15725"," -52259","0.9979","0","0.0021"
"y.cashflow_NPV_dredge_check_nbuff2"," -42810"," -10168","-6.6e+03","-3.2e+02","   2117","  5512"," 11583"," 15448"," 56907","   2392","0.2952","0","0.7048"
"y.cashflow_NPV_dredge_check_nbuff3"," -40294","  -8704","-5.5e+03"," 1.5e+02","   2964","  6479"," 12557"," 16537"," 53149","   3428","0.2396","0","0.7604"
"y.cashflow_NPV_dredge_check_nbuff4"," -33608","  -7282","-4.0e+03"," 9.0e+02","   3592","  7439"," 13636"," 17534"," 56512","   4325","0.2054","0","0.7946"
"y.cashflow_NPV_dredge_check_nbuff5"," -30300","  -6168","-3.0e+03"," 1.2e+03","   4012","  8167"," 14183"," 18233"," 54855","   4911","0.1864","0","0.8136"
"y.cashflow_NPV_dredge_check_nbuff6"," -28913","  -5310","-2.3e+03"," 1.5e+03","   4446","  8819"," 14848"," 19093"," 50543","   5436","0.1677","0","0.8323"
"y.cashflow_NPV_dredge_check_nbuff7"," -28917","  -4035","-1.2e+03"," 2.0e+03","   5012","  9557"," 15330"," 19657"," 57763","   6180","0.1389","0","0.8611"
"y.cashflow_NPV_dredge_check_nbuff8"," -42468","  -2981","-3.2e+02"," 2.3e+03","   5313","  9821"," 15977"," 20152"," 55089","   6622","0.1124","0","0.8876"
"y.cashflow_NPV_dredge_check_nbuff9"," -27870","  -1751"," 1.2e+02"," 2.7e+03","   5573"," 10376"," 16469"," 20961"," 54635","   7116","0.0956","0","0.9044"
"y.cashflow_NPV_dredge_check_nbuff10"," -27889","  -1107"," 6.0e+02"," 2.9e+03","   6018"," 10555"," 16319"," 20515"," 57333","   7401","0.0775","0","0.9225"
"y.cashflow_NPV_dredge_check_nbuff11"," -24680","   -264"," 9.8e+02"," 3.2e+03","   6138"," 10450"," 16497"," 20820"," 57902","   7573","0.0602","0","0.9398"
"y.cashflow_NPV_dredge_check_nbuff12"," -14328","    -14"," 1.3e+03"," 3.4e+03","   6280"," 10580"," 16254"," 20414"," 55104","   7706","0.0506","0","0.9494"
"y.cashflow_NPV_dredge_check_nbuff13"," -25723","    286"," 1.6e+03"," 3.5e+03","   6300"," 10447"," 15861"," 19781"," 51361","   7703","0.0388","0","0.9612"
"y.cashflow_NPV_dredge_check_nbuff14"," -11518","    493"," 1.8e+03"," 3.8e+03","   6507"," 10595"," 15502"," 19222"," 54476","   7794","0.0340","0","0.9660"
"y.cashflow_NPV_dredge_check_nbuff15"," -22491","    672"," 2.0e+03"," 3.9e+03","   6621"," 10713"," 15697"," 19638"," 62150","   7944","0.0313","0","0.9687"
"y.cashflow_NPV_dredge_check_nbuff16"," -13011","    795"," 2.1e+03"," 4.0e+03","   6821"," 10728"," 15742"," 19188"," 51535","   8028","0.0277","0","0.9723"
"y.cashflow_NPV_dredge_check_nbuff17"," -12018","    904"," 2.2e+03"," 4.1e+03","   6955"," 10789"," 15455"," 18916"," 53588","   8063","0.0237","0","0.9763"
"y.cashflow_NPV_dredge_check_nbuff18","  -6789","    986"," 2.2e+03"," 4.1e+03","   6958"," 10890"," 15268"," 18694"," 45995","   8060","0.0244","0","0.9756"
"y.cashflow_NPV_dredge_check_nbuff19","  -4348","   1133"," 2.3e+03"," 4.1e+03","   6962"," 10782"," 15058"," 18690"," 48604","   8026","0.0220","0","0.9780"
"y.cashflow_NPV_dredge_check_nbuff20","  -5824","   1141"," 2.3e+03"," 4.2e+03","   6971"," 10599"," 15023"," 18022"," 49552","   7938","0.0229","0","0.9771"
"y.cashflow_NPV_dredge_check_nbuff21","  -4044","   1136"," 2.2e+03"," 4.1e+03","   6901"," 10536"," 14587"," 17417"," 49280","   7840","0.0211","0","0.9789"
"y.cashflow_NPV_dredge_check_nbuff22","  -2413","   1140"," 2.2e+03"," 4.0e+03","   6806"," 10378"," 14374"," 17002"," 60596","   7683","0.0215","0","0.9785"
"y.cashflow_NPV_dredge_check_nbuff23","  -2986","   1126"," 2.1e+03"," 3.9e+03","   6700"," 10062"," 14167"," 16602"," 51820","   7492","0.0201","0","0.9799"
"y.cashflow_NPV_dredge_check_nbuff24","  -5080","   1079"," 2.0e+03"," 3.8e+03","   6567","  9965"," 13622"," 16173"," 59450","   7319","0.0210","0","0.9790"
"y.cashflow_NPV_dredge_check_nbuff25","  -1967","   1033"," 2.0e+03"," 3.7e+03","   6345","  9583"," 13100"," 15399"," 39856","   7054","0.0211","0","0.9789"
"y.cashflow_NPV_dredge_check_nbuff26","  -2582","    907"," 1.8e+03"," 3.5e+03","   6142","  9290"," 12810"," 15143"," 42072","   6833","0.0210","0","0.9790"
"y.cashflow_NPV_dredge_check_nbuff27","  -2603","    865"," 1.7e+03"," 3.3e+03","   6030","  9144"," 12385"," 14777"," 33877","   6658","0.0196","0","0.9804"
"y.cashflow_NPV_dredge_check_nbuff28","  -1503","    825"," 1.6e+03"," 3.2e+03","   5746","  8689"," 11967"," 13994"," 37869","   6359","0.0205","0","0.9795"
"y.cashflow_NPV_dredge_check_nbuff29","  -1472","    732"," 1.5e+03"," 3.1e+03","   5512","  8421"," 11541"," 13600"," 32871","   6140","0.0203","0","0.9797"
"y.cashflow_NPV_dredge_check_nbuff30","  -4124","    680"," 1.4e+03"," 2.9e+03","   5315","  8065"," 11016"," 13059"," 35584","   5863","0.0212","0","0.9788"
"y.cashflow_NPV_dredge_ncheck_buff1","-351598","-257442","-2.4e+05","-2.1e+05","-168821","-46542","-26691","-16073"," 15730","-143178","0.9953","0","0.0047"
"y.cashflow_NPV_dredge_ncheck_buff2"," -40491","  -6909","-2.8e+03"," 1.6e+03","   6712"," 12326"," 17924"," 22042"," 65209","   7090","0.1678","0","0.8322"
"y.cashflow_NPV_dredge_ncheck_buff3"," -64661","  -6322","-2.2e+03"," 2.3e+03","   7568"," 13401"," 19265"," 23411"," 59346","   7990","0.1475","0","0.8525"
"y.cashflow_NPV_dredge_ncheck_buff4"," -31132","  -4992","-1.4e+03"," 2.7e+03","   8370"," 14178"," 20401"," 24792"," 52065","   8866","0.1341","0","0.8659"
"y.cashflow_NPV_dredge_ncheck_buff5"," -25608","  -3879","-5.1e+02"," 3.0e+03","   9155"," 15273"," 21744"," 26137"," 70041","   9756","0.1182","0","0.8818"
"y.cashflow_NPV_dredge_ncheck_buff6"," -24938","  -3533","-2.5e+02"," 3.1e+03","   9698"," 15825"," 22219"," 26680"," 70226","  10143","0.1097","0","0.8903"
"y.cashflow_NPV_dredge_ncheck_buff7"," -27684","  -2207"," 1.1e+02"," 3.6e+03","  10342"," 16847"," 23683"," 28247"," 65313","  11009","0.0940","0","0.9060"
"y.cashflow_NPV_dredge_ncheck_buff8"," -22347","  -1423"," 3.6e+02"," 3.9e+03","  10960"," 17382"," 23691"," 28239"," 64172","  11435","0.0854","0","0.9146"
"y.cashflow_NPV_dredge_ncheck_buff9"," -20586","   -726"," 7.9e+02"," 4.3e+03","  11401"," 18105"," 24712"," 29360"," 71287","  12094","0.0713","0","0.9287"
"y.cashflow_NPV_dredge_ncheck_buff10"," -23514","   -320"," 1.1e+03"," 4.5e+03","  11948"," 18991"," 25932"," 30687"," 76326","  12721","0.0599","0","0.9401"
"y.cashflow_NPV_dredge_ncheck_buff11"," -28249","   -119"," 1.3e+03"," 4.6e+03","  12360"," 19383"," 26354"," 31519"," 63549","  13075","0.0547","0","0.9453"
"y.cashflow_NPV_dredge_ncheck_buff12"," -18294","     56"," 1.5e+03"," 4.7e+03","  12862"," 20010"," 27101"," 32074"," 80292","  13590","0.0470","0","0.9530"
"y.cashflow_NPV_dredge_ncheck_buff13"," -16694","    173"," 1.7e+03"," 4.8e+03","  13200"," 20370"," 27696"," 32751"," 78460","  13889","0.0425","0","0.9575"
"y.cashflow_NPV_dredge_ncheck_buff14"," -10289","    260"," 1.8e+03"," 4.9e+03","  13423"," 20609"," 27968"," 32928","100296","  14073","0.0376","0","0.9624"
"y.cashflow_NPV_dredge_ncheck_buff15"," -15599","    318"," 1.9e+03"," 5.0e+03","  13729"," 21013"," 28252"," 32980"," 76050","  14310","0.0370","0","0.9630"
"y.cashflow_NPV_dredge_ncheck_buff16"," -26154","    336"," 2.0e+03"," 4.9e+03","  13933"," 21168"," 28362"," 33153"," 74796","  14472","0.0352","0","0.9648"
"y.cashflow_NPV_dredge_ncheck_buff17"," -20874","    319"," 2.0e+03"," 4.8e+03","  14202"," 21350"," 28068"," 32880"," 76876","  14490","0.0350","0","0.9650"
"y.cashflow_NPV_dredge_ncheck_buff18","  -6317","    331"," 2.0e+03"," 4.8e+03","  14372"," 21571"," 28506"," 33111"," 64757","  14645","0.0341","0","0.9659"
"y.cashflow_NPV_dredge_ncheck_buff19","  -8999","    397"," 2.0e+03"," 4.6e+03","  14567"," 21694"," 28595"," 33083"," 75340","  14657","0.0330","0","0.9670"
"y.cashflow_NPV_dredge_ncheck_buff20","  -6867","    328"," 2.0e+03"," 4.4e+03","  14690"," 21778"," 28506"," 33200"," 83483","  14682","0.0310","0","0.9690"
"y.cashflow_NPV_dredge_ncheck_buff21","  -3388","    386"," 1.9e+03"," 4.3e+03","  14850"," 21924"," 28430"," 33086"," 82614","  14726","0.0298","0","0.9702"
"y.cashflow_NPV_dredge_ncheck_buff22","  -3479","    394"," 1.8e+03"," 4.1e+03","  14983"," 22004"," 28594"," 32849"," 93532","  14684","0.0295","0","0.9705"
"y.cashflow_NPV_dredge_ncheck_buff23","  -3695","    316"," 1.7e+03"," 3.9e+03","  14987"," 21962"," 28435"," 32810"," 63314","  14668","0.0296","0","0.9704"
"y.cashflow_NPV_dredge_ncheck_buff24","  -2241","    335"," 1.7e+03"," 3.7e+03","  15144"," 21997"," 28518"," 32736"," 91477","  14679","0.0313","0","0.9687"
"y.cashflow_NPV_dredge_ncheck_buff25","  -2011","    275"," 1.6e+03"," 3.6e+03","  15275"," 22081"," 28399"," 32746"," 65065","  14645","0.0314","0","0.9686"
"y.cashflow_NPV_dredge_ncheck_buff26","  -1699","    292"," 1.5e+03"," 3.4e+03","  15135"," 21967"," 28134"," 32549"," 65891","  14533","0.0310","0","0.9690"
"y.cashflow_NPV_dredge_ncheck_buff27","  -2068","    269"," 1.4e+03"," 3.2e+03","  15301"," 22074"," 28146"," 32299"," 74111","  14536","0.0306","0","0.9694"
"y.cashflow_NPV_dredge_ncheck_buff28","  -2850","    234"," 1.3e+03"," 3.0e+03","  15024"," 21748"," 27992"," 32103"," 63198","  14331","0.0321","0","0.9679"
"y.cashflow_NPV_dredge_ncheck_buff29","  -2295","    201"," 1.2e+03"," 2.8e+03","  15007"," 21777"," 28012"," 31814"," 63312","  14226","0.0330","0","0.9670"
"y.cashflow_NPV_dredge_ncheck_buff30","  -2418","    189"," 1.1e+03"," 2.6e+03","  15107"," 21593"," 27481"," 31375"," 72747","  14115","0.0328","0","0.9672"
"y.cashflow_NPV_dredge_ncheck_nbuff1"," -59755"," -26932","-2.3e+04","-1.7e+04"," -14956"," -9514"," -1357","   706"," 34714"," -13384","0.9286","0","0.0714"
"y.cashflow_NPV_dredge_ncheck_nbuff2"," -49670"," -10753","-6.9e+03","-5.2e+02","   1901","  5180"," 10986"," 14882"," 58658","   2013","0.3030","0","0.6970"
"y.cashflow_NPV_dredge_ncheck_nbuff3"," -76087","  -9326","-5.9e+03","-3.2e+02","   2375","  5713"," 11490"," 15376"," 47688","   2624","0.2844","0","0.7156"
"y.cashflow_NPV_dredge_ncheck_nbuff4"," -38694","  -8774","-5.5e+03","-2.3e+02","   2489","  6100"," 11969"," 15921"," 51696","   3007","0.2704","0","0.7296"
"y.cashflow_NPV_dredge_ncheck_nbuff5"," -31638","  -7934","-5.0e+03","-1.2e+02","   2549","  6340"," 11711"," 15673"," 49241","   3147","0.2622","0","0.7378"
"y.cashflow_NPV_dredge_ncheck_nbuff6"," -37371","  -7123","-4.1e+03"," 4.6e+00","   2337","  5861"," 11408"," 15513"," 42776","   3124","0.2497","0","0.7503"
"y.cashflow_NPV_dredge_ncheck_nbuff7"," -36260","  -6304","-3.4e+03"," 2.0e+02","   2463","  5672"," 10769"," 14709"," 46548","   3196","0.2298","0","0.7702"
"y.cashflow_NPV_dredge_ncheck_nbuff8"," -37697","  -5293","-2.4e+03"," 3.5e+02","   2520","  5475"," 10207"," 13887"," 67410","   3230","0.2128","0","0.7872"
"y.cashflow_NPV_dredge_ncheck_nbuff9"," -30260","  -4403","-1.8e+03"," 5.3e+02","   2648","  5465"," 10059"," 13670"," 41766","   3396","0.1963","0","0.8037"
"y.cashflow_NPV_dredge_ncheck_nbuff10"," -24185","  -3284","-1.1e+03"," 7.5e+02","   2827","  5394","  9596"," 12972"," 47403","   3517","0.1758","0","0.8242"
"y.cashflow_NPV_dredge_ncheck_nbuff11"," -36462","  -2120","-5.5e+02"," 9.4e+02","   2915","  5406","  9034"," 12354"," 43917","   3600","0.1489","0","0.8511"
