"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.cashflow_NPV_dredge_ncheck_nbuff12"," -25515","  -1477","-3.4e+02"," 1.1e+03","   3018","  5325","  8519"," 11518"," 42249","   3636","0.1368","0","0.8632"
"y.cashflow_NPV_dredge_ncheck_nbuff13"," -21624","   -934","-1.7e+02"," 1.3e+03","   3101","  5309","  8463"," 10967"," 30066","   3676","0.1201","0","0.8799"
"y.cashflow_NPV_dredge_ncheck_nbuff14"," -20208","   -714","-1.0e+02"," 1.4e+03","   3161","  5225","  7876"," 10234"," 34513","   3645","0.1147","0","0.8853"
"y.cashflow_NPV_dredge_ncheck_nbuff15"," -30850","   -576","-4.6e+01"," 1.5e+03","   3199","  5175","  7642","  9769"," 32529","   3619","0.1099","0","0.8901"
"y.cashflow_NPV_dredge_ncheck_nbuff16"," -23642","   -510","-2.9e+01"," 1.6e+03","   3232","  5030","  7384","  9238"," 32443","   3558","0.1042","0","0.8958"
"y.cashflow_NPV_dredge_ncheck_nbuff17"," -22144","   -395"," 6.8e+00"," 1.6e+03","   3199","  4918","  6957","  8589"," 36081","   3463","0.0986","0","0.9014"
"y.cashflow_NPV_dredge_ncheck_nbuff18","  -8910","   -338"," 4.1e+00"," 1.6e+03","   3139","  4810","  6767","  8233"," 28049","   3395","0.0994","0","0.9006"
"y.cashflow_NPV_dredge_ncheck_nbuff19","  -7930","   -284"," 3.0e+01"," 1.6e+03","   3056","  4651","  6407","  7818"," 23937","   3263","0.0935","0","0.9065"
"y.cashflow_NPV_dredge_ncheck_nbuff20","  -9322","   -265"," 3.0e+01"," 1.6e+03","   3028","  4501","  6192","  7430"," 23151","   3176","0.0955","0","0.9045"
"y.cashflow_NPV_dredge_ncheck_nbuff21","  -6098","   -209"," 5.6e+01"," 1.6e+03","   2878","  4295","  5930","  7091"," 21833","   3053","0.0888","0","0.9112"
"y.cashflow_NPV_dredge_ncheck_nbuff22","  -5342","   -185"," 5.3e+01"," 1.5e+03","   2797","  4129","  5600","  6695"," 21712","   2919","0.0872","0","0.9128"
"y.cashflow_NPV_dredge_ncheck_nbuff23","  -6032","   -165"," 5.6e+01"," 1.4e+03","   2638","  3902","  5358","  6399"," 18333","   2766","0.0858","0","0.9142"
"y.cashflow_NPV_dredge_ncheck_nbuff24","  -5192","   -174"," 3.5e+01"," 1.4e+03","   2532","  3714","  5093","  6113"," 16961","   2639","0.0885","0","0.9115"
"y.cashflow_NPV_dredge_ncheck_nbuff25","  -3467","   -162"," 4.0e+01"," 1.3e+03","   2381","  3510","  4801","  5721"," 15104","   2495","0.0861","0","0.9139"
"y.cashflow_NPV_dredge_ncheck_nbuff26","  -2942","   -142"," 3.8e+01"," 1.2e+03","   2251","  3356","  4575","  5400"," 14382","   2360","0.0877","0","0.9123"
"y.cashflow_NPV_dredge_ncheck_nbuff27","  -4066","   -119"," 4.8e+01"," 1.2e+03","   2113","  3167","  4336","  5153"," 14694","   2235","0.0842","0","0.9158"
"y.cashflow_NPV_dredge_ncheck_nbuff28","  -3239","   -133"," 3.1e+01"," 1.1e+03","   1985","  2963","  4045","  4879"," 16010","   2096","0.0898","0","0.9102"
"y.cashflow_NPV_dredge_ncheck_nbuff29","  -2471","   -124"," 3.6e+01"," 1.0e+03","   1857","  2803","  3838","  4546"," 10963","   1965","0.0873","0","0.9127"
"y.cashflow_NPV_dredge_ncheck_nbuff30","  -3653","   -118"," 2.1e+01"," 9.1e+02","   1725","  2614","  3610","  4330"," 13125","   1838","0.0913","0","0.9087"
"y.cashflow_NPV_ndredge_check_buff1","-374770","-284725","-2.7e+05","-2.3e+05","-192503","-74827","-48221","-40390"," 21130","-168275","0.9994","0","0.0006"
"y.cashflow_NPV_ndredge_check_buff2"," -48725","  -7091","-3.0e+03"," 1.2e+03","   6484"," 11894"," 17593"," 21577"," 64629","   6747","0.1962","0","0.8038"
"y.cashflow_NPV_ndredge_check_buff3"," -56162","  -6305","-2.1e+03"," 2.1e+03","   7459"," 13173"," 19357"," 23228"," 57939","   7935","0.1572","0","0.8428"
"y.cashflow_NPV_ndredge_check_buff4"," -40216","  -5260","-1.4e+03"," 2.9e+03","   8469"," 14303"," 20342"," 24524"," 57900","   8885","0.1367","0","0.8633"
"y.cashflow_NPV_ndredge_check_buff5"," -29913","  -4064","-5.3e+02"," 3.4e+03","   9152"," 15133"," 21318"," 25715"," 58105","   9679","0.1224","0","0.8776"
"y.cashflow_NPV_ndredge_check_buff6"," -35639","  -2959","-1.7e+02"," 4.0e+03","   9988"," 16041"," 22187"," 26833"," 55882","  10510","0.1059","0","0.8941"
"y.cashflow_NPV_ndredge_check_buff7"," -32439","  -1844"," 2.4e+02"," 4.5e+03","  10607"," 17048"," 23700"," 28445"," 68095","  11358","0.0896","0","0.9104"
"y.cashflow_NPV_ndredge_check_buff8"," -37440","  -1074"," 6.4e+02"," 4.9e+03","  11154"," 17463"," 23886"," 28475"," 61925","  11786","0.0802","0","0.9198"
"y.cashflow_NPV_ndredge_check_buff9"," -29084","   -586"," 9.0e+02"," 5.1e+03","  11820"," 18208"," 25047"," 29978"," 74465","  12507","0.0677","0","0.9323"
"y.cashflow_NPV_ndredge_check_buff10"," -23034","   -281"," 1.2e+03"," 5.4e+03","  12180"," 19218"," 26144"," 30999"," 78578","  13123","0.0620","0","0.9380"
"y.cashflow_NPV_ndredge_check_buff11"," -22970","   -110"," 1.6e+03"," 5.9e+03","  12848"," 19916"," 26798"," 31619"," 74122","  13695","0.0533","0","0.9467"
"y.cashflow_NPV_ndredge_check_buff12"," -16612","     49"," 1.8e+03"," 6.2e+03","  13363"," 20245"," 27467"," 32360"," 73397","  14139","0.0472","0","0.9528"
"y.cashflow_NPV_ndredge_check_buff13"," -20491","    124"," 2.1e+03"," 6.5e+03","  13588"," 20733"," 28085"," 33199"," 67777","  14502","0.0447","0","0.9553"
"y.cashflow_NPV_ndredge_check_buff14"," -12554","    150"," 2.3e+03"," 6.6e+03","  13909"," 21225"," 28246"," 33070","101358","  14823","0.0430","0","0.9570"
"y.cashflow_NPV_ndredge_check_buff15"," -12176","    184"," 2.4e+03"," 6.8e+03","  14295"," 21550"," 28785"," 34103"," 83552","  15160","0.0408","0","0.9592"
"y.cashflow_NPV_ndredge_check_buff16"," -16366","    175"," 2.6e+03"," 7.1e+03","  14620"," 21894"," 28923"," 33903"," 85828","  15370","0.0406","0","0.9594"
"y.cashflow_NPV_ndredge_check_buff17"," -11056","    172"," 2.7e+03"," 7.2e+03","  14942"," 21939"," 29096"," 34350"," 83083","  15513","0.0406","0","0.9594"
"y.cashflow_NPV_ndredge_check_buff18","  -6778","    168"," 2.8e+03"," 7.1e+03","  14772"," 22249"," 29196"," 34304"," 67867","  15617","0.0373","0","0.9627"
"y.cashflow_NPV_ndredge_check_buff19","  -5352","    151"," 2.9e+03"," 7.3e+03","  15134"," 22216"," 29438"," 34540"," 71696","  15683","0.0404","0","0.9596"
"y.cashflow_NPV_ndredge_check_buff20","  -3769","    168"," 2.9e+03"," 7.1e+03","  15279"," 22321"," 29631"," 34185"," 86114","  15773","0.0380","0","0.9620"
"y.cashflow_NPV_ndredge_check_buff21","  -5050","    184"," 2.9e+03"," 7.0e+03","  15321"," 22503"," 29440"," 34377"," 74461","  15765","0.0364","0","0.9636"
"y.cashflow_NPV_ndredge_check_buff22","  -3258","    178"," 2.8e+03"," 6.9e+03","  15407"," 22577"," 29417"," 34164"," 82341","  15781","0.0350","0","0.9650"
"y.cashflow_NPV_ndredge_check_buff23","  -3045","    144"," 2.7e+03"," 6.7e+03","  15369"," 22599"," 29264"," 33799"," 69593","  15662","0.0366","0","0.9634"
"y.cashflow_NPV_ndredge_check_buff24","  -5495","    134"," 2.8e+03"," 6.6e+03","  15529"," 22736"," 29199"," 33762"," 75597","  15683","0.0359","0","0.9641"
"y.cashflow_NPV_ndredge_check_buff25","  -3770","    123"," 2.6e+03"," 6.4e+03","  15545"," 22727"," 29315"," 33711"," 66737","  15662","0.0363","0","0.9637"
"y.cashflow_NPV_ndredge_check_buff26","  -3442","    135"," 2.5e+03"," 6.2e+03","  15568"," 22592"," 29192"," 33651"," 65631","  15584","0.0376","0","0.9624"
"y.cashflow_NPV_ndredge_check_buff27","  -2013","     95"," 2.4e+03"," 6.0e+03","  15616"," 22818"," 29177"," 33594"," 80741","  15554","0.0387","0","0.9613"
"y.cashflow_NPV_ndredge_check_buff28","  -2437","     99"," 2.3e+03"," 5.7e+03","  15345"," 22519"," 28966"," 33316"," 70867","  15364","0.0370","0","0.9630"
"y.cashflow_NPV_ndredge_check_buff29","  -2201","    115"," 2.2e+03"," 5.5e+03","  15464"," 22378"," 29046"," 33297"," 76656","  15245","0.0349","0","0.9651"
"y.cashflow_NPV_ndredge_check_buff30","  -1611","    103"," 2.0e+03"," 5.2e+03","  15435"," 22239"," 28621"," 32664"," 78352","  15138","0.0377","0","0.9623"
"y.cashflow_NPV_ndredge_check_nbuff1"," -94143"," -56142","-5.2e+04","-4.7e+04"," -42261","-31710","-19620","-15826"," 29179"," -38772","0.9915","0","0.0085"
"y.cashflow_NPV_ndredge_check_nbuff2"," -41779"," -11070","-7.3e+03","-7.5e+02","   1185","  4550"," 10475"," 14332"," 56818","   1568","0.3774","0","0.6226"
"y.cashflow_NPV_ndredge_check_nbuff3"," -37977","  -9561","-6.3e+03","-5.2e+02","   2122","  5642"," 11307"," 15062"," 53021","   2439","0.3047","0","0.6953"
"y.cashflow_NPV_ndredge_check_nbuff4"," -33280","  -8603","-5.4e+03","-2.5e+02","   2675","  6621"," 12348"," 16447"," 56746","   3231","0.2765","0","0.7235"
"y.cashflow_NPV_ndredge_check_nbuff5"," -34332","  -7757","-4.4e+03","-3.8e+01","   3071","  7138"," 13230"," 17354"," 49014","   3792","0.2549","0","0.7451"
"y.cashflow_NPV_ndredge_check_nbuff6"," -37808","  -6437","-3.6e+03"," 1.4e+02","   3414","  7332"," 13011"," 17152"," 53982","   4119","0.2348","0","0.7652"
"y.cashflow_NPV_ndredge_check_nbuff7"," -28303","  -5534","-2.6e+03"," 3.2e+02","   3434","  7419"," 13267"," 17272"," 49529","   4401","0.2180","0","0.7820"
"y.cashflow_NPV_ndredge_check_nbuff8"," -26270","  -4683","-1.8e+03"," 4.1e+02","   3429","  7214"," 12379"," 16239"," 71881","   4329","0.2002","0","0.7998"
"y.cashflow_NPV_ndredge_check_nbuff9"," -29429","  -3853","-1.3e+03"," 6.7e+02","   3528","  7167"," 12351"," 16433"," 48162","   4514","0.1856","0","0.8144"
"y.cashflow_NPV_ndredge_check_nbuff10"," -35789","  -2912","-8.6e+02"," 8.2e+02","   3739","  7297"," 12395"," 16208"," 50460","   4707","0.1699","0","0.8301"
"y.cashflow_NPV_ndredge_check_nbuff11"," -28588","  -1831","-5.0e+02"," 1.0e+03","   3948","  7308"," 11945"," 15687"," 66700","   4822","0.1524","0","0.8476"
"y.cashflow_NPV_ndredge_check_nbuff12"," -16302","  -1306","-3.4e+02"," 1.2e+03","   4145","  7538"," 11937"," 15541"," 48109","   5043","0.1422","0","0.8578"
"y.cashflow_NPV_ndredge_check_nbuff13"," -36739","   -881","-2.3e+02"," 1.4e+03","   4380","  7677"," 11995"," 15283"," 52666","   5221","0.1295","0","0.8705"
"y.cashflow_NPV_ndredge_check_nbuff14"," -17349","   -745","-1.7e+02"," 1.6e+03","   4543","  7800"," 11752"," 14998"," 40708","   5273","0.1259","0","0.8741"
"y.cashflow_NPV_ndredge_check_nbuff15"," -23866","   -567","-1.1e+02"," 1.7e+03","   4744","  7782"," 11660"," 14556"," 45885","   5358","0.1167","0","0.8833"
"y.cashflow_NPV_ndredge_check_nbuff16"," -17682","   -574","-1.0e+02"," 1.8e+03","   4853","  7922"," 11544"," 14378"," 46587","   5387","0.1198","0","0.8802"
"y.cashflow_NPV_ndredge_check_nbuff17"," -13655","   -407","-3.6e+01"," 1.9e+03","   4906","  7864"," 11317"," 13704"," 36558","   5372","0.1087","0","0.8913"
"y.cashflow_NPV_ndredge_check_nbuff18","  -9406","   -387","-4.3e+01"," 1.9e+03","   5001","  7870"," 11113"," 13395"," 38269","   5342","0.1101","0","0.8899"
"y.cashflow_NPV_ndredge_check_nbuff19","  -7278","   -355","-5.4e+01"," 2.0e+03","   4930","  7788"," 10782"," 13054"," 37267","   5249","0.1125","0","0.8875"
"y.cashflow_NPV_ndredge_check_nbuff20","  -6080","   -330","-4.3e+01"," 2.0e+03","   4928","  7559"," 10436"," 12607"," 32843","   5161","0.1128","0","0.8872"
"y.cashflow_NPV_ndredge_check_nbuff21","  -4936","   -290","-3.8e+01"," 2.1e+03","   4870","  7466"," 10292"," 12362"," 32611","   5100","0.1114","0","0.8886"
"y.cashflow_NPV_ndredge_check_nbuff22","  -6090","   -269","-3.0e+01"," 2.0e+03","   4724","  7259","  9837"," 11756"," 30047","   4940","0.1099","0","0.8901"
"y.cashflow_NPV_ndredge_check_nbuff23","  -5466","   -242","-2.7e+01"," 1.9e+03","   4626","  6990","  9642"," 11453"," 27926","   4773","0.1096","0","0.8904"
"y.cashflow_NPV_ndredge_check_nbuff24","  -9783","   -232","-2.0e+01"," 1.9e+03","   4490","  6842","  9283"," 10939"," 34730","   4652","0.1060","0","0.8940"
"y.cashflow_NPV_ndredge_check_nbuff25","  -2372","   -205","-2.5e+01"," 1.9e+03","   4313","  6562","  9000"," 10540"," 27554","   4473","0.1098","0","0.8902"
"y.cashflow_NPV_ndredge_check_nbuff26","  -3689","   -222","-3.3e+01"," 1.8e+03","   4160","  6296","  8580"," 10121"," 33556","   4290","0.1118","0","0.8882"
"y.cashflow_NPV_ndredge_check_nbuff27","  -3039","   -192","-2.2e+01"," 1.7e+03","   4025","  6143","  8298","  9878"," 20852","   4154","0.1097","0","0.8903"
"y.cashflow_NPV_ndredge_check_nbuff28","  -2747","   -178","-2.4e+01"," 1.6e+03","   3853","  5841","  7954","  9273"," 23741","   3951","0.1111","0","0.8889"
"y.cashflow_NPV_ndredge_check_nbuff29","  -3043","   -174","-2.3e+01"," 1.5e+03","   3680","  5545","  7630","  8957"," 25445","   3783","0.1145","0","0.8855"
"y.cashflow_NPV_ndredge_check_nbuff30","  -4587","   -175","-1.8e+01"," 1.4e+03","   3479","  5274","  7245","  8551"," 27751","   3600","0.1098","0","0.8902"
"y.cashflow_NPV_ndredge_ncheck_buff1","-339401","-244916","-2.3e+05","-2.0e+05","-154710","-33002","-14598","  -225"," 29545","-129491","0.9617","0","0.0383"
"y.cashflow_NPV_ndredge_ncheck_buff2"," -47749","  -8785","-4.4e+03"," 3.4e+01","   6196"," 11875"," 17503"," 21849"," 67178","   6208","0.2416","0","0.7584"
"y.cashflow_NPV_ndredge_ncheck_buff3"," -32297","  -7885","-3.2e+03"," 1.6e+02","   7066"," 13022"," 19152"," 23164"," 58564","   7180","0.2199","0","0.7801"
"y.cashflow_NPV_ndredge_ncheck_buff4"," -37198","  -6288","-2.4e+03"," 3.4e+02","   7645"," 13748"," 19918"," 24214"," 58359","   7894","0.2044","0","0.7956"
"y.cashflow_NPV_ndredge_ncheck_buff5"," -33387","  -6149","-2.2e+03"," 3.9e+02","   8161"," 14605"," 21155"," 25399"," 58196","   8456","0.2026","0","0.7974"
"y.cashflow_NPV_ndredge_ncheck_buff6"," -37293","  -5619","-1.8e+03"," 5.6e+02","   8828"," 15303"," 21540"," 26126"," 71336","   8970","0.1980","0","0.8020"
"y.cashflow_NPV_ndredge_ncheck_buff7"," -38018","  -4423","-1.3e+03"," 6.9e+02","   9238"," 16027"," 22664"," 27261"," 65202","   9542","0.1892","0","0.8108"
"y.cashflow_NPV_ndredge_ncheck_buff8"," -23380","  -3548","-8.9e+02"," 7.6e+02","   9651"," 16457"," 23013"," 27723"," 64509","  10002","0.1763","0","0.8237"
"y.cashflow_NPV_ndredge_ncheck_buff9"," -32977","  -2828","-7.9e+02"," 6.7e+02","  10163"," 16950"," 23626"," 28618"," 75925","  10367","0.1775","0","0.8225"
"y.cashflow_NPV_ndredge_ncheck_buff10"," -30048","  -2074","-6.3e+02"," 6.4e+02","  10630"," 17548"," 24430"," 29100"," 64017","  10799","0.1719","0","0.8281"
"y.cashflow_NPV_ndredge_ncheck_buff11"," -26876","  -1508","-5.2e+02"," 5.6e+02","  11001"," 17944"," 24543"," 29045"," 61596","  11060","0.1748","0","0.8252"
"y.cashflow_NPV_ndredge_ncheck_buff12"," -22913","  -1305","-4.6e+02"," 5.7e+02","  11490"," 18290"," 25059"," 29745"," 68772","  11398","0.1706","0","0.8294"
"y.cashflow_NPV_ndredge_ncheck_buff13"," -18657","   -973","-3.8e+02"," 5.3e+02","  11894"," 18732"," 25283"," 30197"," 99591","  11666","0.1648","0","0.8352"
"y.cashflow_NPV_ndredge_ncheck_buff14"," -15237","   -883","-3.3e+02"," 5.2e+02","  12126"," 18999"," 25437"," 29944","101178","  11812","0.1673","0","0.8327"
"y.cashflow_NPV_ndredge_ncheck_buff15"," -22928","   -835","-3.4e+02"," 4.0e+02","  12438"," 19329"," 25875"," 30529"," 72530","  12032","0.1680","0","0.8320"
"y.cashflow_NPV_ndredge_ncheck_buff16"," -26023","   -736","-2.8e+02"," 3.9e+02","  12875"," 19472"," 25726"," 30041"," 72074","  12143","0.1691","0","0.8309"
"y.cashflow_NPV_ndredge_ncheck_buff17"," -18949","   -649","-2.6e+02"," 3.8e+02","  13137"," 19632"," 25907"," 30326"," 70104","  12311","0.1652","0","0.8348"
"y.cashflow_NPV_ndredge_ncheck_buff18","  -6904","   -582","-2.3e+02"," 3.3e+02","  13381"," 19817"," 26179"," 30534"," 63949","  12461","0.1687","0","0.8313"
"y.cashflow_NPV_ndredge_ncheck_buff19","  -6944","   -540","-2.4e+02"," 3.0e+02","  13453"," 20146"," 26484"," 30789"," 71603","  12603","0.1683","0","0.8317"
"y.cashflow_NPV_ndredge_ncheck_buff20","  -8815","   -521","-2.0e+02"," 2.6e+02","  13789"," 20282"," 26362"," 30485"," 72549","  12674","0.1668","0","0.8332"
"y.cashflow_NPV_ndredge_ncheck_buff21","  -6114","   -453","-1.8e+02"," 2.5e+02","  13840"," 20329"," 26303"," 30506"," 72868","  12722","0.1676","0","0.8324"
"y.cashflow_NPV_ndredge_ncheck_buff22","  -7176","   -422","-1.7e+02"," 2.4e+02","  13960"," 20436"," 26484"," 30581"," 73376","  12747","0.1628","0","0.8372"
"y.cashflow_NPV_ndredge_ncheck_buff23","  -6000","   -398","-1.5e+02"," 2.4e+02","  14024"," 20565"," 26364"," 30176"," 59733","  12804","0.1628","0","0.8372"
"y.cashflow_NPV_ndredge_ncheck_buff24","  -3870","   -361","-1.4e+02"," 2.0e+02","  14130"," 20568"," 26384"," 30500"," 82254","  12832","0.1621","0","0.8379"
"y.cashflow_NPV_ndredge_ncheck_buff25","  -2559","   -340","-1.6e+02"," 1.8e+02","  14154"," 20542"," 26358"," 30133"," 53545","  12809","0.1677","0","0.8323"
"y.cashflow_NPV_ndredge_ncheck_buff26","  -3396","   -316","-1.3e+02"," 1.8e+02","  14098"," 20583"," 26250"," 30057"," 61631","  12777","0.1652","0","0.8348"
"y.cashflow_NPV_ndredge_ncheck_buff27","  -3475","   -305","-1.3e+02"," 1.7e+02","  14246"," 20600"," 26100"," 29840"," 54995","  12755","0.1675","0","0.8325"
"y.cashflow_NPV_ndredge_ncheck_buff28","  -3406","   -274","-1.1e+02"," 1.7e+02","  14052"," 20328"," 25988"," 29636"," 64245","  12687","0.1658","0","0.8342"
"y.cashflow_NPV_ndredge_ncheck_buff29","  -3787","   -299","-1.2e+02"," 1.5e+02","  13955"," 20218"," 25921"," 29555"," 59996","  12573","0.1670","0","0.8330"
"y.cashflow_NPV_ndredge_ncheck_buff30","  -2641","   -269","-1.1e+02"," 1.6e+02","  14070"," 20103"," 25480"," 28849"," 67194","  12523","0.1657","0","0.8343"
